zoo_name,city,state,address,latitude,longitude,num_animals,acres,hour_open,hour_close,annual_visitors,website,
Brevard Zoo,Melbourne,FL,8225 N Wickham Rd,28.224979,-80.713877,550,75,9:30,17:00,360000,https://brevardzoo.org/,
Bronx Zoo,Bronx,NY,2300 Southern Blvd,40.850595,-73.876998,4000,265,10:00,17:00,2000000,http://bronxzoo.com/,
Brookgreen Gardens,Murrells Inlet,SC,1931 Brookgreen Garden Dr,33.530631,-79.089425,,9100,9:30,17:00,275000,http://www.brookgreen.org/,
Buffalo Zoo,Buffalo,NY,300 Parkside Ave,42.938451,-78.851701,1200,23,10:00,16:00,415000,http://www.buffalozoo.org/,
Busch Gardens Tampa,Tampa,FL,10165 N McKinley Dr,28.037091,-82.421227,2700,335,10:00,18:00,4300000,https://buschgardens.com/?&gclid=CjwKEAjw97K_BRCwmNTK26iM-hMSJABrkNtbXUcLZoQtCBW1jFFtijUclsodRSkgzqjRvLNmw9RQJBoC9W7w_wcB&dclid=CJOdofK4tc8CFVIWgQodlTMJWg,
The Butterfly House,Chesterfield,MO,15193 Olive Blvd,38.664847,-90.542771,2000,16,10:00,16:00,,http://www.missouribotanicalgarden.org/visit/family-of-attractions/butterfly-house.aspx,
Butterfly Pavilion,Westminster,CO,6252 W 104th Ave,39.887153,-105.066488,1200,11,9:00,17:00,,https://www.butterflies.org/,
Buttonwood Park Zoo,New Bedford,MA,425 Hawthorn St.,41.630232,-70.951391,250,10,9:00,17:00,222000,https://www.bpzoo.org/,
Caldwell Zoo,Tyler,TX,2203 W Martin Luther King Jr Blvd,32.37007,-95.325693,2000,85,9:00,16:00,260000,http://caldwellzoo.org/,
California Science Center,Los Angeles,CA,700 Exposition Park Dr.,34.015865,-118.286119,,9.18,10:00,17:00,,http://californiasciencecenter.org/,
